Student ID,P-1,P-2,P-3,P-4,P-5,C-1,C-2,C-3,C-4,C-5,M-1,M-2,M-3,M-4,M-5
16CS01,90,60,40,55,70,45,60,70,30,20,40,70,80,75,70
16CS02,30,70,60,30,50,55,45,65,90,95,50,40,75,73,83
16CS03,60,40,88,30,65,60,45,83,89,76,60,39,67,75,90
16CS04,80,40,67,55,90,43,35,38,41,49,33,38,45,59,43
16CS05,40,69,89,70,40,45,60,33,40,49,50,55,30,40,45
16CS06,60,40,34,30,43,40,55,70,65,80,60,70,68,80,77
16CS07,35,60,40,30,50,60,40,70,80,76,47,49,55,30,33
16CS08,88,64,50,90,75,40,45,60,70,99,70,85,30,94,97
16CS09,50,50,30,70,55,33,37,40,44,43,33,34,40,50,49
16CS10,39,48,40,60,40,50,60,86,67,65,45,30,79,30,25
16CS01,45,60,70,30,20,50,60,86,30,17,90,60,40,55,70
16CS02,55,45,65,90,95,80,90,85,75,70,30,70,60,30,50
16CS03,60,45,83,89,76,35,35,40,30,20,60,40,88,30,65
16CS04,43,35,38,41,49,30,40,60,45,25,80,40,67,55,90
16CS05,45,60,33,40,49,85,83,90,93,75,40,69,89,70,40
16CS06,40,55,70,65,80,60,40,50,75,35,60,40,34,30,43
16CS07,60,40,70,80,76,33,38,45,59,43,35,60,40,30,50
16CS08,40,45,60,70,99,50,55,30,40,45,88,64,50,90,75
16CS09,33,37,40,44,43,60,70,68,80,77,50,50,30,70,55
16CS10,50,60,86,67,65,47,49,55,30,33,39,48,40,60,40
16CS01,40,60,90,10,45,70,85,30,94,97,60,40,34,30,43
16CS02,60,10,90,49,40,33,34,40,50,49,35,60,40,30,50
16CS03,60,80,50,35,30,45,30,79,30,25,88,64,50,90,75
16CS04,40,60,90,10,51,57,60,70,30,20,50,50,30,70,55
16CS05,40,70,80,75,70,55,45,65,90,95,39,48,40,60,40
16CS06,50,40,75,73,83,60,45,83,89,76,45,60,70,30,20
16CS07,60,39,67,75,90,43,35,38,41,49,55,45,65,90,95
